Application Number,Total Amount,Total Number,Application Received Date,Application Approved Date,Vehicle Category,Vehicle Model,Vehicle Make,Vehicle Year,Date of Purchase,Purchase or Lease?,Zip Code,County
M-013611,"$2,500",2500,12/10/18 21:37,1/4/19 18:19,BEV,Tesla Model 3,Tesla,2018,2018-12-07,Purchase,2121,Suffolk
M-013612,"$2,500",2500,12/10/18 21:39,12/19/18 13:47,BEV,Tesla Model 3,Tesla,2018,2018-12-10,Purchase,2043,Plymouth
M-013613,"$1,500",1500,12/10/18 21:41,1/4/19 17:35,PHEV,MINI Cooper SE Countryman ALL4,MINI,2019,2018-11-23,Purchase,2482,Norfolk
M-013614,"$2,500",2500,12/10/18 22:19,1/7/19 12:44,BEV,Tesla Model 3,Tesla,2018,2018-12-10,Purchase,1826,Middlesex
M-013615,"$2,500",2500,12/10/18 22:30,12/18/18 17:23,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-11-29,Purchase,2155,Middlesex
M-013616,"$1,500",1500,12/10/18 22:51,,PHEV,Toyota Prius Prime,Toyota,2018,2018-11-26,Purchase,2110,
M-013617,"$2,500",2500,12/10/18 23:29,12/18/18 17:28,BEV,Tesla Model 3,Tesla,2018,2018-12-10,Purchase,1536,Worcester
M-013618,"$2,500",2500,12/11/18 6:39,12/19/18 13:19,BEV,Tesla Model 3,Tesla,2018,2018-11-17,Purchase,1742,Middlesex
M-013619,"$2,500",2500,12/11/18 8:16,12/21/18 14:38,BEV,Tesla Model 3,Tesla,2018,2018-12-10,Purchase,2043,Plymouth
M-013620,"$2,500",2500,12/11/18 9:13,12/19/18 15:34,BEV,BMW i3 REx,BMW,2018,2018-11-27,Lease,1776,Middlesex
M-013621,"$2,500",2500,12/11/18 9:53,12/18/18 17:37,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-08,Purchase,1602,Worcester
M-013622,"$2,500",2500,12/11/18 11:31,12/19/18 18:30,PHEV+,Honda Clarity PHEV,Honda,2018,2018-11-29,Purchase,2360,Plymouth
M-013623,"$1,500",1500,12/11/18 12:03,12/19/18 18:33,PHEV,Toyota Prius Prime,Toyota,2018,2018-11-03,Purchase,2338,Plymouth
M-013624,"$2,500",2500,12/11/18 13:00,12/18/18 17:27,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-09-17,Lease,2347,Plymouth
M-013625,"$2,500",2500,12/11/18 13:03,12/19/18 14:40,BEV,Tesla Model 3,Tesla,2018,2018-12-07,Purchase,1519,Worcester
M-013626,"$2,500",2500,12/11/18 14:46,1/17/19 12:26,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-09-14,Purchase,1070,Hampshire
M-013627,"$1,000",1000,12/11/18 15:20,12/18/18 17:43,BEV,Tesla Model S 100 kWh,Tesla,2018,2018-09-27,Purchase,2445,Norfolk
M-013628,"$2,500",2500,12/11/18 15:22,12/18/18 17:40,PHEV+,Honda Clarity PHEV,Honda,2018,2018-12-10,Lease,2180,Middlesex
M-013629,"$2,500",2500,12/11/18 15:29,12/18/18 18:44,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-10-16,Purchase,1966,Essex
M-013630,"$2,500",2500,12/11/18 15:46,1/11/19 17:26,PHEV+,Honda Clarity PHEV,Honda,2018,2018-11-25,Lease,1581,Worcester
M-013631,"$2,500",2500,12/11/18 16:24,1/4/19 16:03,BEV,Tesla Model 3,Tesla,2018,2018-12-03,Purchase,2421,Middlesex
M-013633,"$2,500",2500,12/11/18 17:45,12/18/18 18:52,BEV,Tesla Model 3,Tesla,2018,2018-12-03,Purchase,2138,Middlesex
M-013634,"$2,500",2500,12/11/18 18:11,12/18/18 18:46,BEV,Tesla Model 3,Tesla,2018,2018-11-20,Purchase,2171,Norfolk
M-013635,"$1,000",1000,12/11/18 18:36,12/19/18 12:46,BEV,Tesla Model X,Tesla,2018,2018-12-11,Purchase,2021,Norfolk
M-013636,"$2,500",2500,12/11/18 19:03,12/18/18 14:29,BEV,Tesla Model 3,Tesla,2018,2018-11-28,Purchase,2460,Middlesex
M-013637,"$2,500",2500,12/11/18 19:06,12/18/18 18:52,BEV,Tesla Model 3,Tesla,2018,2018-11-06,Purchase,1701,Middlesex
M-013638,"$2,500",2500,12/11/18 19:41,12/18/18 18:39,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,2138,Middlesex
M-013639,"$1,000",1000,12/11/18 19:41,12/18/18 14:28,BEV,Tesla Model S - 75 kWh,Tesla,2018,2018-11-20,Purchase,1886,Middlesex
M-013641,"$2,500",2500,12/11/18 19:49,12/19/18 12:27,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,2132,Suffolk
M-013642,"$2,500",2500,12/11/18 19:49,12/19/18 18:11,BEV,Tesla Model 3,Tesla,2018,2018-11-16,Purchase,1760,Middlesex
M-013643,"$2,500",2500,12/11/18 20:04,12/18/18 18:23,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-11-30,Lease,2464,Middlesex
M-013644,"$1,500",1500,12/11/18 20:16,1/4/19 17:09,PHEV,Toyota Prius Prime,Toyota,2018,2018-12-11,Purchase,1267,Berkshire
M-013645,"$2,500",2500,12/11/18 20:23,1/4/19 17:32,BEV,Tesla Model 3,Tesla,2018,2018-10-31,Purchase,2468,Middlesex
M-013646,"$1,000",1000,12/11/18 20:46,12/18/18 18:40,BEV,Tesla Model S 100 kWh,Tesla,2019,2018-12-11,Purchase,2492,Norfolk
M-013647,"$2,500",2500,12/11/18 21:22,12/18/18 18:09,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,2420,Middlesex
M-013648,"$2,500",2500,12/11/18 22:16,1/11/19 18:47,BEV,Tesla Model 3,Tesla,2018,2018-12-03,Purchase,1545,Worcester
M-013649,"$1,500",1500,12/11/18 22:44,12/18/18 19:04,PHEV,Toyota Prius Prime,Toyota,2018,2018-10-11,Purchase,2446,Norfolk
M-013650,"$2,500",2500,12/12/18 9:23,1/4/19 17:15,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-12,Lease,2421,Middlesex
M-013651,"$2,500",2500,12/12/18 10:14,12/18/18 17:42,BEV,Nissan Leaf SL,Nissan,2018,2018-11-06,Lease,1420,Worcester
M-013652,"$2,500",2500,12/12/18 11:01,12/18/18 19:22,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-11-01,Purchase,1770,Middlesex
M-013653,"$1,000",1000,12/12/18 11:04,12/19/18 18:25,BEV,Tesla Model S 100 kWh,Tesla,2018,2018-12-03,Lease,2465,Middlesex
M-013654,"$2,500",2500,12/12/18 11:34,1/17/19 11:29,BEV,Tesla Model 3,Tesla,2018,2018-11-17,Purchase,1720,Middlesex
M-013655,"$2,500",2500,12/12/18 11:41,12/18/18 18:13,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,2421,Middlesex
M-013656,"$2,500",2500,12/12/18 11:47,1/16/19 17:26,BEV,Tesla Model 3,Tesla,2018,2018-11-01,Purchase,1801,Middlesex
M-013657,"$2,500",2500,12/12/18 12:22,12/19/18 18:30,BEV,Tesla Model 3,Tesla,2018,2018-10-09,Purchase,2494,Norfolk
M-013658,"$2,500",2500,12/12/18 12:51,1/16/19 16:44,PHEV+,Honda Clarity PHEV,Honda,2018,2018-09-30,Lease,2149,Middlesex
M-013659,"$2,500",2500,12/12/18 12:54,12/18/18 18:59,BEV,Nissan Leaf S,Nissan,2019,2018-12-02,Purchase,2474,Middlesex
M-013660,"$2,500",2500,12/12/18 13:49,1/17/19 10:25,BEV,Tesla Model 3,Tesla,2018,2018-11-30,Purchase,2446,Norfolk
M-013661,"$2,500",2500,12/12/18 13:59,1/17/19 14:07,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-11-10,Lease,2474,Middlesex
M-013662,"$2,500",2500,12/12/18 14:21,12/18/18 17:27,BEV,Tesla Model 3,Tesla,2018,2018-11-27,Purchase,2478,Middlesex
M-013663,"$2,500",2500,12/12/18 14:57,12/19/18 15:28,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,1007,Hampshire
M-013664,"$2,500",2500,12/12/18 15:45,12/18/18 18:54,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,1915,Essex
M-013665,"$2,500",2500,12/12/18 15:47,12/19/18 11:41,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,2474,Middlesex
M-013666,"$2,500",2500,12/12/18 16:07,1/7/19 14:23,BEV,Tesla Model 3,Tesla,2018,2018-12-10,Purchase,2790,Bristol
M-013667,"$2,500",2500,12/12/18 16:25,12/21/18 13:29,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,2453,Middlesex
M-013668,"$2,500",2500,12/12/18 17:17,12/18/18 18:56,BEV,Tesla Model 3,Tesla,2018,2018-12-04,Purchase,2066,Plymouth
M-013669,"$2,500",2500,12/12/18 18:13,12/19/18 18:31,BEV,Tesla Model 3,Tesla,2018,2018-11-19,Purchase,2465,Middlesex
M-013670,"$2,500",2500,12/12/18 18:17,12/18/18 18:12,BEV,Tesla Model 3,Tesla,2018,2018-11-16,Purchase,1773,Middlesex
M-013671,"$2,500",2500,12/12/18 18:29,1/4/19 17:01,BEV,Tesla Model 3,Tesla,2018,2018-12-05,Purchase,2368,Norfolk
M-013672,"$2,500",2500,12/12/18 19:12,12/18/18 18:13,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,1702,Middlesex
M-013673,"$2,500",2500,12/12/18 19:20,1/16/19 13:08,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,1845,Essex
M-013674,"$2,500",2500,12/12/18 19:50,1/4/19 13:22,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,1720,Middlesex
M-013675,"$2,500",2500,12/12/18 19:58,12/18/18 18:58,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-12-08,Purchase,2717,Bristol
M-013676,"$1,000",1000,12/12/18 20:03,12/18/18 18:57,BEV,Tesla Model S 100 kWh,Tesla,2018,2018-12-08,Purchase,1760,Middlesex
M-013677,"$2,500",2500,12/12/18 20:17,12/18/18 17:16,BEV,Tesla Model 3,Tesla,2018,2018-11-18,Purchase,2038,Norfolk
M-013678,"$2,500",2500,12/12/18 20:26,12/18/18 18:14,PHEV+,Honda Clarity PHEV,Honda,2018,2018-12-12,Purchase,2132,Suffolk
M-013679,"$2,500",2500,12/12/18 20:45,12/18/18 18:15,BEV,Tesla Model 3,Tesla,2018,2018-11-21,Purchase,1776,Middlesex
M-013680,"$2,500",2500,12/12/18 20:56,1/4/19 17:47,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,2421,Middlesex
M-013681,"$2,500",2500,12/12/18 21:01,12/19/18 18:32,BEV,Tesla Model 3,Tesla,2018,2018-12-08,Purchase,2421,Middlesex
M-013683,"$2,500",2500,12/12/18 21:27,12/18/18 19:13,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,2771,Bristol
M-013684,"$2,500",2500,12/12/18 22:04,12/18/18 19:15,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,1951,Essex
M-013685,"$2,500",2500,12/12/18 22:11,1/4/19 15:50,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-12-12,Purchase,2155,Middlesex
M-013686,"$2,500",2500,12/12/18 22:24,1/4/19 18:27,BEV,Tesla Model 3,Tesla,2018,2018-12-10,Purchase,2446,Norfolk
M-013687,"$2,500",2500,12/12/18 22:32,1/4/19 16:55,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-11,Purchase,1778,Middlesex
M-013688,"$2,500",2500,12/12/18 22:44,12/19/18 12:35,BEV,Tesla Model 3,Tesla,2018,2018-11-29,Purchase,1720,Middlesex
M-013689,"$2,500",2500,12/12/18 23:26,1/4/19 16:45,BEV,Tesla Model 3,Tesla,2018,2018-12-08,Purchase,2472,Middlesex
M-013690,"$2,500",2500,12/13/18 0:13,1/4/19 15:48,PHEV+,Chevrolet Volt,Chevrolet,2019,2018-12-11,Purchase,1349,Franklin
M-013691,"$2,500",2500,12/13/18 0:28,12/18/18 19:20,BEV,Tesla Model 3,Tesla,2018,2018-12-09,Purchase,1923,Essex
M-013692,"$2,500",2500,12/13/18 7:26,12/19/18 18:36,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,1983,Essex
M-013693,"$2,500",2500,12/13/18 7:30,1/4/19 16:04,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,2048,Bristol
M-013694,"$1,500",1500,12/13/18 8:49,1/4/19 17:46,PHEV,Toyota Prius Prime,Toyota,2018,2018-12-06,Purchase,2494,Norfolk
M-013695,"$2,500",2500,12/13/18 9:09,12/18/18 18:17,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-10,Lease,1053,Hampshire
M-013696,"$2,500",2500,12/13/18 9:21,12/18/18 18:17,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,2155,Middlesex
M-013697,"$2,500",2500,12/13/18 9:33,1/4/19 17:15,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,1451,Worcester
M-013698,"$2,500",2500,12/13/18 9:49,1/4/19 16:54,PHEV+,Honda Clarity PHEV,Honda,2018,2018-12-12,Lease,2461,Middlesex
M-013699,"$1,500",1500,12/13/18 10:34,12/18/18 18:18,PHEV,Toyota Prius Prime,Toyota,2018,2018-11-19,Purchase,2122,Suffolk
M-013700,"$2,500",2500,12/13/18 11:01,12/18/18 18:20,BEV,Tesla Model 3,Tesla,2018,2018-12-06,Purchase,1740,Worcester
M-013701,"$2,500",2500,12/13/18 11:08,1/7/19 18:00,BEV,Tesla Model 3,Tesla,2018,2018-11-21,Purchase,2333,Plymouth
M-013702,"$2,500",2500,12/13/18 11:42,1/4/19 16:49,BEV,Tesla Model 3,Tesla,2018,2018-12-05,Purchase,2631,Barnstable
M-013703,"$2,500",2500,12/13/18 12:33,12/18/18 19:02,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-12-06,Lease,1773,Middlesex
M-013704,"$2,500",2500,12/13/18 12:50,12/18/18 19:19,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,2703,Bristol
M-013705,"$2,500",2500,12/13/18 13:13,12/18/18 18:23,BEV,Tesla Model 3,Tesla,2018,2018-11-26,Purchase,1532,Worcester
M-013706,"$2,500",2500,12/13/18 13:31,1/7/19 13:30,PHEV+,Honda Clarity PHEV,Honda,2018,2018-12-13,Purchase,2038,Norfolk
M-013707,"$2,500",2500,12/13/18 13:43,1/4/19 17:10,BEV,Tesla Model 3,Tesla,2018,2018-11-23,Purchase,1545,Worcester
M-013708,"$2,500",2500,12/13/18 13:45,12/18/18 18:14,BEV,Tesla Model 3,Tesla,2018,2018-11-17,Purchase,2657,Barnstable
M-013709,"$2,500",2500,12/13/18 13:51,1/4/19 17:10,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,1545,Worcester
M-013710,"$2,500",2500,12/13/18 15:11,1/9/19 11:49,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,1746,Middlesex
M-013711,"$2,500",2500,12/13/18 15:19,12/18/18 19:07,BEV,Tesla Model 3,Tesla,2018,2018-10-29,Purchase,1054,Franklin
M-013712,"$2,500",2500,12/13/18 16:02,12/18/18 19:06,BEV,Tesla Model 3,Tesla,2018,2018-12-05,Purchase,1569,Worcester
M-013713,"$1,000",1000,12/13/18 16:09,12/18/18 18:22,BEV,Tesla Model S 100 kWh,Tesla,2018,2018-11-21,Purchase,2451,Middlesex
M-013714,"$2,500",2500,12/13/18 16:28,1/8/19 13:41,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,1473,Worcester
M-013716,"$2,500",2500,12/13/18 16:41,1/7/19 11:50,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-12-13,Purchase,1719,Middlesex
M-013717,"$2,500",2500,12/13/18 17:40,1/8/19 15:32,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,2199,Suffolk
M-013718,"$2,500",2500,12/13/18 18:25,1/7/19 12:01,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,2149,Middlesex
M-013719,"$2,500",2500,12/13/18 19:24,12/19/18 18:35,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-12-08,Purchase,1460,Middlesex
M-013720,"$2,500",2500,12/13/18 19:37,12/19/18 13:10,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,1760,Middlesex
M-013721,"$2,500",2500,12/13/18 19:59,12/18/18 18:25,BEV,Tesla Model 3,Tesla,2018,2018-10-29,Purchase,1930,Essex
M-013722,"$2,500",2500,12/13/18 20:23,12/19/18 14:24,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,1106,Hampden
M-013723,"$2,500",2500,12/13/18 20:39,12/19/18 12:58,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,2420,Middlesex
M-013724,"$2,500",2500,12/13/18 21:15,12/19/18 18:37,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,1776,Middlesex
M-013725,"$1,500",1500,12/13/18 21:35,12/18/18 18:27,PHEV,Toyota Prius Prime,Toyota,2018,2018-12-11,Purchase,1460,Middlesex
M-013726,"$2,500",2500,12/13/18 21:35,1/4/19 17:50,BEV,Tesla Model 3,Tesla,2018,2018-12-03,Purchase,1835,Essex
M-013727,"$2,500",2500,12/13/18 21:49,1/4/19 18:29,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-11-10,Purchase,2144,Middlesex
M-013728,"$1,000",1000,12/13/18 22:12,1/4/19 18:21,BEV,Tesla Model X,Tesla,2018,2018-11-15,Purchase,1810,Essex
M-013729,"$2,500",2500,12/13/18 23:22,1/4/19 17:24,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-12-13,Purchase,1960,Essex
M-013730,"$2,500",2500,12/13/18 23:28,12/19/18 18:38,BEV,Tesla Model 3,Tesla,2018,2018-12-08,Purchase,2332,Plymouth
M-013731,"$2,500",2500,12/14/18 6:47,1/4/19 17:04,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,2138,Middlesex
M-013732,"$2,500",2500,12/14/18 7:50,12/19/18 17:24,BEV,Tesla Model 3,Tesla,2018,2018-12-08,Purchase,1970,Essex
M-013733,"$2,500",2500,12/14/18 7:58,1/4/19 15:49,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,2494,Norfolk
M-013735,"$2,500",2500,12/14/18 9:27,1/4/19 19:24,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,1742,Middlesex
M-013736,"$2,500",2500,12/14/18 9:32,1/7/19 12:11,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,1915,Essex
M-013737,"$2,500",2500,12/14/18 9:36,1/4/19 17:02,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,1752,Middlesex
M-013738,"$2,500",2500,12/14/18 10:14,1/28/19 11:25,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-12-09,Lease,1864,Middlesex
M-013739,"$2,500",2500,12/14/18 10:41,12/18/18 19:22,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,1810,Essex
M-013740,"$2,500",2500,12/14/18 11:30,1/4/19 17:20,BEV,Tesla Model 3,Tesla,2018,2018-12-04,Purchase,2210,Suffolk
M-013741,"$2,500",2500,12/14/18 11:33,12/18/18 18:29,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-11,Purchase,1351,Franklin
M-013742,"$2,500",2500,12/14/18 11:47,1/7/19 12:46,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,1545,Worcester
M-013743,"$2,500",2500,12/14/18 12:40,1/4/19 18:43,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,1545,Worcester
M-013744,"$2,500",2500,12/14/18 13:09,1/7/19 17:32,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,2138,Middlesex
M-013745,"$1,000",1000,12/14/18 13:13,12/18/18 19:25,BEV,Tesla Model S 100 kWh,Tesla,2018,2018-12-12,Purchase,2421,Middlesex
M-013746,"$2,500",2500,12/14/18 13:25,12/20/18 11:32,PHEV+,Honda Clarity PHEV,Honda,2018,2018-12-13,Purchase,2536,Barnstable
M-013747,"$2,500",2500,12/14/18 13:36,1/4/19 18:20,BEV,Tesla Model 3,Tesla,2018,2018-10-03,Purchase,2093,Norfolk
M-013748,"$2,500",2500,12/14/18 13:39,12/18/18 18:30,BEV,Tesla Model 3,Tesla,2018,2018-11-29,Purchase,2019,Norfolk
M-013749,"$2,500",2500,12/14/18 13:55,1/8/19 17:44,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,2186,Norfolk
M-013750,"$2,500",2500,12/14/18 14:13,12/26/18 11:16,PHEV+,Honda Clarity PHEV,Honda,2018,2018-10-23,Lease,2189,Norfolk
M-013751,"$2,500",2500,12/14/18 14:30,12/19/18 18:42,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-05,Lease,1867,Middlesex
M-013752,"$2,500",2500,12/14/18 14:31,1/16/19 18:21,BEV,Tesla Model 3,Tesla,2018,2018-10-29,Purchase,2421,Middlesex
M-013753,"$2,500",2500,12/14/18 14:33,12/19/18 18:39,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-11-21,Purchase,1075,Hampshire
M-013755,"$2,500",2500,12/14/18 14:45,1/4/19 18:09,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-14,Purchase,1740,Worcester
M-013756,"$2,500",2500,12/14/18 15:13,1/18/19 10:45,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,1760,Middlesex
M-013757,"$2,500",2500,12/14/18 15:24,1/4/19 18:03,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,2460,Middlesex
M-013758,"$1,000",1000,12/14/18 15:25,12/18/18 18:51,BEV,Tesla Model S - 75 kWh,Tesla,2018,2018-12-14,Purchase,2445,Norfolk
M-013759,"$2,500",2500,12/14/18 15:57,1/4/19 17:00,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-12,Purchase,2494,Norfolk
M-013760,"$2,500",2500,12/14/18 16:13,1/4/19 16:51,BEV,Tesla Model 3,Tesla,2018,2018-12-12,Purchase,2459,Middlesex
M-013761,"$2,500",2500,12/14/18 16:30,1/4/19 17:51,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,2142,Middlesex
M-013762,"$2,500",2500,12/14/18 17:16,1/25/19 18:29,BEV,Tesla Model 3,Tesla,2018,2018-11-21,Purchase,2116,Suffolk
M-013763,"$2,500",2500,12/14/18 17:33,1/8/19 17:07,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,2332,Plymouth
M-013764,"$2,500",2500,12/14/18 17:38,1/4/19 16:46,BEV,Tesla Model 3,Tesla,2018,2018-11-27,Purchase,1527,Worcester
M-013765,"$2,500",2500,12/14/18 17:57,1/4/19 15:47,BEV,Tesla Model 3,Tesla,2018,2018-11-24,Purchase,1748,Middlesex
M-013766,"$2,500",2500,12/14/18 18:11,1/8/19 10:50,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,2150,Suffolk
M-013767,"$2,500",2500,12/14/18 19:00,1/16/19 18:22,BEV,Tesla Model 3,Tesla,2018,2018-10-15,Purchase,2188,Norfolk
M-013768,"$2,500",2500,12/14/18 19:03,1/4/19 16:55,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,1915,Essex
M-013769,"$1,000",1000,12/14/18 19:23,1/4/19 16:47,BEV,Tesla Model X,Tesla,2018,2018-12-14,Purchase,1940,Essex
M-013770,"$2,500",2500,12/14/18 20:06,1/7/19 11:59,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,2769,Bristol
M-013771,"$2,500",2500,12/14/18 20:35,1/4/19 18:21,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,1720,Middlesex
M-013772,"$2,500",2500,12/14/18 21:17,1/4/19 17:29,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,1810,Essex
M-013773,"$2,500",2500,12/14/18 21:51,1/8/19 16:04,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,2467,Norfolk
M-013774,"$1,500",1500,12/14/18 21:53,1/4/19 16:48,PHEV,Toyota Prius Prime,Toyota,2018,2018-08-17,Purchase,1701,Middlesex
M-013775,"$2,500",2500,12/14/18 21:54,1/15/19 18:49,BEV,Tesla Model 3,Tesla,2018,2018-12-11,Purchase,1770,Middlesex
M-013776,"$2,500",2500,12/14/18 22:42,1/4/19 15:54,PHEV+,Chrysler Pacifica,Chrysler,2018,2018-11-25,Purchase,2067,Norfolk
M-013777,"$2,500",2500,12/14/18 22:44,1/10/19 11:38,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-12,Lease,1602,Worcester
M-013778,"$2,500",2500,12/14/18 22:44,1/11/19 11:51,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-08,Lease,1602,Worcester
M-013780,"$2,500",2500,12/14/18 22:54,1/4/19 17:44,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,2472,Middlesex
M-013781,"$2,500",2500,12/14/18 23:52,1/8/19 16:13,BEV,Tesla Model 3,Tesla,2018,2018-12-13,Purchase,2131,Suffolk
M-013782,"$2,500",2500,12/15/18 0:17,1/4/19 16:49,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,1532,Worcester
M-013783,"$1,000",1000,12/15/18 6:25,1/7/19 18:17,BEV,Tesla Model S - 75 kWh,Tesla,2018,2018-12-14,Purchase,2048,Bristol
M-013784,"$2,500",2500,12/15/18 7:12,1/8/19 16:56,BEV,Smart Electric Fortwo Coupe,Smart,2018,2018-12-13,Lease,2143,Middlesex
M-013785,"$1,000",1000,12/15/18 7:48,1/4/19 16:07,BEV,Tesla Model X,Tesla,2018,2018-12-14,Purchase,2460,Middlesex
M-013786,"$2,500",2500,12/15/18 8:15,1/4/19 17:33,BEV,Tesla Model 3,Tesla,2018,2018-12-15,Purchase,1778,Middlesex
M-013787,"$2,500",2500,12/15/18 8:18,1/4/19 19:08,BEV,Tesla Model 3,Tesla,2018,2018-12-01,Purchase,2492,Norfolk
M-013788,"$2,500",2500,12/15/18 8:23,1/4/19 16:50,BEV,Tesla Model 3,Tesla,2018,2018-12-14,Purchase,2478,Middlesex
M-013789,"$1,000",1000,12/15/18 8:57,1/7/19 18:22,BEV,Tesla Model X,Tesla,2018,2018-12-13,Purchase,1590,Worcester
M-013790,"$2,500",2500,12/15/18 9:01,1/8/19 13:42,BEV,Chevrolet Bolt EV,Chevrolet,2019,2018-12-08,Lease,2493,Middlesex
M-013791,"$2,500",2500,12/15/18 9:04,1/4/19 16:05,BEV,Tesla Model 3,Tesla,2018,2018-12-05,Purchase,1921,Essex
M-013792,"$2,500",2500,12/15/18 9:09,1/17/19 11:39,PHEV+,Honda Clarity PHEV,Honda,2018,2018-12-14,Purchase,1776,Middlesex
M-013793,"$1,000",1000,12/15/18 9:12,1/4/19 16:32,BEV,Tesla Model S - 75 kWh,Tesla,2018,2018-12-15,Purchase,2138,Middlesex
M-013794,"$2,500",2500,12/15/18 9:17,1/14/19 18:25,PHEV+,Chevrolet Volt,Chevrolet,2018,2018-12-13,Purchase,2139,Middlesex
M-013795,"$1,000",1000,12/15/18 9:34,1/4/19 16:50,BEV,Tesla Model X,Tesla,2018,2018-12-10,Purchase,2460,Middlesex
M-013796,"$2,500",2500,12/15/18 10:02,1/9/19 18:58,PHEV+,Honda Clarity PHEV,Honda,2018,2018-12-08,Lease,1803,Middlesex
M-013797,"$2,500",2500,12/15/18 10:47,1/18/19 16:05,BEV,Tesla Model 3,Tesla,2018,2018-11-24,Purchase,2056,Norfolk
